8.00, 2.00, 2.00
8.50, 2.00, 2.00
9.00, 2.00, 2.00
9.50, 2.00, 2.00
8.00, 2.00, 2.50
8.50, 2.00, 2.50
9.00, 2.00, 2.50
9.50, 2.00, 2.50
8.00, 2.00, 3.00
8.50, 2.00, 3.00
9.00, 2.00, 3.00
9.50, 2.00, 3.00
8.00, 2.00, 3.50
8.50, 2.00, 3.50
9.00, 2.00, 3.50
9.50, 2.00, 3.50
8.00, 2.00, 2.00
8.50, 2.00, 2.00
9.00, 2.00, 2.00
9.50, 2.00, 2.00
8.00, 2.50, 2.00
8.50, 2.50, 2.00
9.00, 2.50, 2.00
9.50, 2.50, 2.00
8.00, 3.00, 2.00
8.50, 3.00, 2.00
9.00, 3.00, 2.00
9.50, 3.00, 2.00
8.00, 3.50, 2.00
8.50, 3.50, 2.00
9.00, 3.50, 2.00
9.50, 3.50, 2.00
8.00, 2.00, 2.00
8.00, 2.50, 2.00
8.00, 3.00, 2.00
8.00, 3.50, 2.00
8.00, 2.00, 2.50
8.00, 2.50, 2.50
8.00, 3.00, 2.50
8.00, 3.50, 2.50
8.00, 2.00, 3.00
8.00, 2.50, 3.00
8.00, 3.00, 3.00
8.00, 3.50, 3.00
8.00, 2.00, 3.50
8.00, 2.50, 3.50
8.00, 3.00, 3.50
8.00, 3.50, 3.50
