4.00, 2.00, 2.00
4.50, 2.00, 2.00
5.00, 2.00, 2.00
5.50, 2.00, 2.00
4.00, 2.00, 2.50
4.50, 2.00, 2.50
5.00, 2.00, 2.50
5.50, 2.00, 2.50
4.00, 2.00, 3.00
4.50, 2.00, 3.00
5.00, 2.00, 3.00
5.50, 2.00, 3.00
4.00, 2.00, 3.50
4.50, 2.00, 3.50
5.00, 2.00, 3.50
5.50, 2.00, 3.50
4.00, 2.00, 2.00
4.50, 2.00, 2.00
5.00, 2.00, 2.00
5.50, 2.00, 2.00
4.00, 2.50, 2.00
4.50, 2.50, 2.00
5.00, 2.50, 2.00
5.50, 2.50, 2.00
4.00, 3.00, 2.00
4.50, 3.00, 2.00
5.00, 3.00, 2.00
5.50, 3.00, 2.00
4.00, 3.50, 2.00
4.50, 3.50, 2.00
5.00, 3.50, 2.00
5.50, 3.50, 2.00
4.00, 2.00, 2.00
4.00, 2.50, 2.00
4.00, 3.00, 2.00
4.00, 3.50, 2.00
4.00, 2.00, 2.50
4.00, 2.50, 2.50
4.00, 3.00, 2.50
4.00, 3.50, 2.50
4.00, 2.00, 3.00
4.00, 2.50, 3.00
4.00, 3.00, 3.00
4.00, 3.50, 3.00
4.00, 2.00, 3.50
4.00, 2.50, 3.50
4.00, 3.00, 3.50
4.00, 3.50, 3.50
