6.00, 2.00, 2.00
0.00, 0.00, 0.00
0.00, 0.00, 0.00
0.00, 0.00, 0.00
6.00, 2.00, 2.50
0.00, 0.00, 0.00
0.00, 0.00, 0.00
0.00, 0.00, 0.00
6.00, 2.00, 3.00
0.00, 0.00, 0.00
0.00, 0.00, 0.00
0.00, 0.00, 0.00
6.00, 2.00, 3.50
0.00, 0.00, 0.00
0.00, 0.00, 0.00
0.00, 0.00, 0.00
6.00, 2.00, 2.00
0.00, 0.00, 0.00
0.00, 0.00, 0.00
0.00, 0.00, 0.00
6.00, 2.50, 2.00
0.00, 0.00, 0.00
0.00, 0.00, 0.00
0.00, 0.00, 0.00
6.00, 3.00, 2.00
0.00, 0.00, 0.00
0.00, 0.00, 0.00
0.00, 0.00, 0.00
6.00, 3.50, 2.00
0.00, 0.00, 0.00
0.00, 0.00, 0.00
0.00, 0.00, 0.00
4.00, 2.00, 2.00
4.00, 2.50, 2.00
4.00, 3.00, 2.00
4.00, 3.50, 2.00
4.00, 2.00, 2.50
4.00, 2.50, 2.50
4.00, 3.00, 2.50
4.00, 3.50, 2.50
4.00, 2.00, 3.00
4.00, 2.50, 3.00
4.00, 3.00, 3.00
4.00, 3.50, 3.00
4.00, 2.00, 3.50
4.00, 2.50, 3.50
4.00, 3.00, 3.50
4.00, 3.50, 3.50
